	date	hashtags	text	user	verifieduser	registeredon	followersuser	followinguser	tweetsuser	favoritestweetsuser	retweet	quote	reply	likes	language	device	location	latitude	longitude
28	Wed Jul 08 19:55:05 +0000 2020	[]	RT @_MissLeandra: Me every time I see a video of folks out at the beach, bars, social gatherings etc and extending our COVID-19 lockdown ti…	Real_WillGarth	False	Thu Mar 03 17:21:12 +0000 2011	128	340	7007	1942	0	0	0	0	en	IPHONE	✈️✈️✈️	-0.2390409	-79.1726346
31	Wed Jul 08 19:55:05 +0000 2020	[]	RT @JeffMiles8: I'm just throwing this out there, because I don't personally...does anybody know anyone who's been affected or has contract…	waldograce	False	Thu Mar 12 23:36:20 +0000 2009	404	228	153194	67528	0	0	0	0	en	WEB APP	Abingdon	51.6714842	-1.2779715
32	Wed Jul 08 19:55:05 +0000 2020	[]	Illinois health officials on Wednesday said 36 more people have died from the coronavirus and another 980 people ha… https://t.co/s2lUN1DlKT	fox32news	True	Mon Jul 23 17:45:08 +0000 2007	143032	844	158979	2999	0	0	0	0	en	WEB APP	Chicago, IL	41.8755616	-87.6244212
33	Wed Jul 08 19:55:05 +0000 2020	[]	RT @itsJeffTiedrich: am I understanding this correctly? covid-19 is so deadly that Paul Manafort and Michael Cohen had to be released from…	bogieindaweeds	False	Tue Nov 05 05:05:10 +0000 2019	6	48	66	231	0	0	0	0	en	IPHONE	Texas, USA	31.8160381	-99.5120986
35	Wed Jul 08 19:55:05 +0000 2020	[]	RT @TeaPartyDave: Great briefing from VP Pence this AM. Looks like South is peaking and on way toward recovery. Death rate among children i…	allan3263	False	Fri Dec 05 05:10:22 +0000 2014	302	17	57591	49697	0	0	0	0	en	IPHONE	United States	39.7837304	-100.4458825
36	Wed Jul 08 19:55:05 +0000 2020	[]	RT @brookIyn89: https://t.co/G6HRIEI0L1 https://t.co/g30TqOaXGG	stateoftop	False	Sat Apr 13 01:47:43 +0000 2019	2140	794	20997	13402	0	0	0	0	und	WEB APP	cornelia street	30.4878722	-86.1681577
37	Wed Jul 08 19:55:05 +0000 2020	[]	RT @Peston: I simply point out what @RishiSunak has doubtless been warned, even by his own officials, which is that if there a COVID-19 out…	AwayFromTheKeys	False	Tue Jun 14 14:56:11 +0000 2016	2677	3645	129848	93504	0	0	0	0	en	WEB APP	Scotland, Europe	57.51976465	-4.082066097085697
38	Wed Jul 08 19:55:05 +0000 2020	[]	RT @KyleKulinski: Japan has less than 1,000 covid deaths. They never went in to full economic shut down. They have an unemployment rate of…	josephhermosoo	False	Tue Feb 28 06:12:54 +0000 2017	67	178	1157	2604	0	0	0	0	en	IPHONE	California	36.7014631	-118.7559974
39	Wed Jul 08 19:55:05 +0000 2020	[]	i work at a mall and 3 stores have closed because employees tested positive for covid-19 and I got tested today bec… https://t.co/mMsyD5PJWA	swampswamppy	False	Sun Apr 12 05:10:05 +0000 2009	91	82	1119	2089	0	0	0	0	en	WEB APP	no	60.5000209	9.0999715
40	Wed Jul 08 19:55:05 +0000 2020	[]	RT @QuecianaWalton: Standing 6 feet away from me	PrincessValxry	False	Tue Aug 11 01:40:37 +0000 2015	400	260	28977	28998	0	0	0	0	en	IPHONE	Hell	42.4347571	-83.9849477
41	Wed Jul 08 19:55:05 +0000 2020	[]	"RT @cogenes: 🔴 O bairro Mangabeira, em João Pessoa, tem uma taxa de infectados por Covid-19 maior que o estado de São Paulo.

Mangabeira pa…"	elisonps	False	Wed Mar 18 13:48:13 +0000 2009	1005	366	136142	11882	0	0	0	0	pt	WEB APP	João Pessoa - Paraíba - Brasil	-7.1215981	-34.882028
42	Wed Jul 08 19:55:05 +0000 2020	[]	@JamesMichaelPr1 @TradeLot @martingeddes covid is not a joke! people who survive are very susceptible to permanent… https://t.co/RJKNRNeKGx	absoluvantastic	False	Fri Dec 13 10:14:24 +0000 2019	121	203	1801	8456	0	0	0	0	en	WEB APP	death	50.2537468	12.4020894
43	Wed Jul 08 19:55:05 +0000 2020	[]	RT @KyleKulinski: Japan has less than 1,000 covid deaths. They never went in to full economic shut down. They have an unemployment rate of…	SYLVIASELZER	False	Fri Mar 16 10:48:03 +0000 2012	315	404	52935	48444	0	0	0	0	en	IPHONE	NORTH WEST ENGLAND	54.068092449999995	-2.6852531259442145
44	Wed Jul 08 19:55:05 +0000 2020	[]	Covid-19: Iluminación ultravioleta inactiva el virus en 25 segundos – Mundo en Línea https://t.co/biMCcBGyjf https://t.co/lChImFvwlb	mundoenlinea	False	Fri Mar 14 21:03:26 +0000 2008	568	15	9615	57	0	0	0	0	es	WEB APP	Santiago de Chile	-33.4377968	-70.6504451
46	Wed Jul 08 19:55:05 +0000 2020	[]	RT @RepAndyBiggsAZ: Important information to better understand Arizona's COVID-19 situation.	JDS44894884	False	Wed Sep 19 00:36:59 +0000 2018	1332	1284	114801	113589	0	0	0	0	en	WEB APP	New York, USA	40.7127281	-74.0060152
47	Wed Jul 08 19:55:05 +0000 2020	[]	RT @irene_r_r: Mi madre despues de años en paro comenzó con un negocio justo antes del covid y estos meses han sido horrorosos para ella, c…	NachodeFerrol	False	Wed May 04 20:11:24 +0000 2011	6582	4525	248204	7948	0	0	0	0	es	WEB APP	Ferrol, España	43.4846862	-8.233162
48	Wed Jul 08 19:55:05 +0000 2020	[]	"RT @atensnut: I don’t go to get tested for the flu if I have no symptoms..... 

But Covid, a virus so deadly...... 
you have to  be tested…"	TwittaChicca	False	Fri Mar 02 02:10:40 +0000 2012	8329	7925	351535	29858	0	0	0	0	en	WEB APP	El mundo	33.2736468	-115.569155
